sampledate,coreid,wtemp,light50,dark_light,light_logger,light0,do_init,delta_do_rate,do_final,do_gm2hr
2012-07-17,1,17.75,680,0,NA,975,10.25,-0.4896551724137931,8.83,-0.0979310344827586
2012-07-17,2,16.6,680,1,NA,975,11.1,0.30000000000000043,11.96,0.07500000000000011
2012-07-17,3,16.85,680,0,NA,975,10.7,-0.34534883720930176,9.71,-0.06803372093023245
2012-07-17,4,16.35,680,1,NA,975,11.48,0.5122807017543857,12.94,0.11116491228070167
2012-07-17,5,16.75,680,0,NA,975,11.02,-0.11228070175438606,10.7,-0.025936842105263178
2012-07-17,6,16.85,680,1,NA,975,11.12,0.25964912280701763,11.86,0.05920000000000001
2012-07-17,7,16.700000000000003,680,0,NA,975,10.81,-0.2541176470588237,10.09,-0.06098823529411769
2012-07-17,8,16.9,680,1,NA,975,11.13,0.3266272189349112,12.05,0.07708402366863905
2012-07-17,9,17.45,680,0,NA,975,10.77,-0.3621301775147927,9.75,-0.07785798816568043
2012-07-17,10,17.950000000000003,680,1,NA,975,11.24,0.6461538461538462,13.06,0.13956923076923078
2012-07-29,1,15.6,814.65,0,NA,NA,10.47,-0.3428571428571432,9.43,-0.0754285714285715
2012-07-29,2,15.45,814.65,1,NA,NA,10.51,0.6327868852459015,12.44,0.1297213114754098
2012-07-29,3,14.95,814.65,0,NA,NA,11.03,-0.24262295081967225,10.29,-0.05701639344262297
2012-07-29,4,15.2,814.65,1,NA,NA,10.66,1.001086956521739,13.73,0.22524456521739128
2012-07-29,5,14.75,814.65,0,NA,NA,10.77,-0.0923076923076921,10.49,-0.0221538461538461
2012-07-29,6,14.8,814.65,1,NA,NA,10.44,0.5802197802197802,12.2,0.1607208791208791
2012-07-29,7,14.5,814.65,0,NA,NA,10.59,-0.19226519337016576,10.01,-0.04806629834254144
2012-07-29,8,14.85,814.65,1,NA,NA,10.4,0.7823204419889501,12.76,0.1799337016574585
2012-07-29,9,14.45,814.65,0,NA,NA,10.47,-0.08571428571428565,10.21,-0.01714285714285713
2012-07-29,10,14.6,814.65,1,NA,NA,10.54,0.876923076923077,13.2,0.2060769230769231
2012-08-04,1,16.1,556,0,NA,NA,9.39,-0.20769230769230787,8.67,-0.06168461538461543
2012-08-04,2,16.5,556,1,NA,NA,9.51,1.1433962264150943,13.55,0.2675547169811321
2012-08-04,3,15.7,556,0,NA,NA,9.6,-0.2928909952606633,8.57,-0.07234407582938383
2012-08-04,4,15.65,556,1,NA,NA,9.6,0.6483412322274885,11.88,0.1938540284360191
2012-08-04,5,15.55,556,0,NA,NA,9.63,-0.3154929577464792,8.51,-0.0772957746478874
2012-08-04,6,15.6,556,1,NA,NA,9.91,1.3153846153846154,14.47,0.3170076923076923
2012-08-04,7,15.35,556,0,NA,NA,9.45,-0.19436619718309847,8.76,-0.04684225352112674
2012-08-04,8,15.55,556,1,NA,NA,9.61,0.9014218009478672,12.78,0.20281990521327015
2012-08-04,9,15.55,556,0,NA,NA,9.56,-0.2218009478672989,8.78,-0.05766824644549771
2012-08-04,10,15.7,556,1,NA,NA,9.67,1.0521327014218007,13.37,0.253563981042654
2012-08-17,1,15.55,327.905,1,NA,613.05,10.57,0.8812500000000001,13.39,0.215025
2012-08-17,2,15.5,327.905,0,NA,613.05,10.13,-0.2381443298969076,9.36,-0.06501340206185578
2012-08-17,3,15.15,327.905,1,NA,613.05,10.75,1.5699481865284977,15.8,0.3924870466321244
2012-08-17,4,15.3,327.905,0,NA,613.05,10.82,-0.19585492227979295,10.19,-0.05386010362694307
2012-08-17,5,15.15,327.905,1,NA,613.05,10.5,0.910880829015544,13.43,0.20039378238341968
2012-08-17,6,15.2,327.905,0,NA,613.05,10.67,-0.2642487046632123,9.82,-0.06289119170984453
2012-08-17,7,15.2,327.905,1,NA,613.05,10.88,1.2989690721649485,15.08,0.33773195876288653
2012-08-17,8,15.15,327.905,0,NA,613.05,10.49,-0.22153846153846177,9.77,-0.04652307692307697
2012-08-17,9,15.3,327.905,1,NA,613.05,10.44,1.310769230769231,14.7,0.27001846153846154
2012-08-17,10,15.1,327.905,0,NA,613.05,10.53,-0.2092307692307691,9.85,-0.05816615384615382
2013-06-08,1,15.4,272.5,0,NA,642.5,12.42,-0.2771739130434781,11.57,-0.05266304347826084
2013-06-08,2,15.4,272.5,1,NA,642.5,12.32,0.7615384615384617,14.63,0.1370769230769231
2013-06-08,3,15.35,272.5,0,NA,642.5,12.36,-0.2802197802197801,11.51,-0.05884615384615382
2013-06-08,4,15.3,272.5,1,NA,642.5,12.42,1.027624309392265,15.52,0.1798342541436464
2013-06-08,5,15.2,272.5,0,NA,642.5,12.36,-0.28176795580110486,11.51,-0.05917127071823202
2013-06-08,6,15.35,272.5,1,NA,642.5,12.15,0.5494382022471906,13.78,0.12087640449438192
2013-06-08,7,15.3,272.5,0,NA,642.5,12.28,-0.15932203389830468,11.81,-0.03425423728813551
2013-06-08,8,15.25,272.5,1,NA,642.5,12.32,1.317241379310345,16.14,0.2436896551724138
2013-06-08,9,15.5,272.5,0,NA,642.5,12.24,-0.11791907514450864,11.9,-0.02535260115606935
2013-06-08,10,15.45,272.5,1,NA,642.5,12.3,0.9458823529411764,14.98,0.18917647058823525
2013-06-15,1,13.8,740,0,NA,2060,11.51,-0.18631578947368416,10.92,-0.03633157894736841
2013-06-15,2,13.65,740,1,NA,2060,11.69,0.7978723404255319,14.19,0.1675531914893617
2013-06-15,3,13.5,740,0,NA,2060,11.34,-0.1595744680851064,10.84,-0.03351063829787235
2013-06-15,4,13.5,740,1,NA,2060,11.69,0.6128342245989306,13.6,0.12563101604278076
